route_code,advance_days,observation_count,mean_total_fare,median_total_fare,mean_base_fare,mean_taxes_fees,min_fare,max_fare,tax_ratio_pct
BOM-DEL,1,36,13586.71,14108.72,11925.985555555555,1660.7288888888888,11234.3,15882.64,12.22
BOM-DEL,7,38,8664.44,8993.24,7262.595526315789,1401.8463157894737,7340.92,10135.52,16.18
BOM-DEL,15,38,7805.62,8127.78,6431.544473684211,1374.0726315789475,6792.07,9259.34,17.6
DEL-BOM,1,35,13397.2,13675.21,11785.224,1611.9751428571428,11511.37,15800.88,12.03
DEL-BOM,7,38,8478.14,8413.56,7142.012894736842,1336.1255263157896,6998.83,10127.74,15.76
DEL-BOM,15,38,7675.99,7739.78,6328.998684210526,1346.9868421052631,6396.35,8999.98,17.55
